Ref_Date,GEO,DON,Value
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $75,000 and over",11
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $100,000 and over",5
2012,"Charlottetown, Prince Edward Island",Number of persons,65340
2012,"Charlottetown, Prince Edward Island",Percentage of persons aged 0 to 24 years,30
2012,"Charlottetown, Prince Edward Island",Percentage of persons aged 25 to 44 years,25
2012,"Charlottetown, Prince Edward Island",Percentage of persons aged 45 to 64 years,29
2012,"Charlottetown, Prince Edward Island",Percentage of persons aged 65 years and over,16
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $15,000 and over",78
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $25,000 and over",59
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $35,000 and over",44
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $50,000 and over",26
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $75,000 and over",10
2012,"Charlottetown, Prince Edward Island","Percentage of persons with total income $100,000 and over",5
2012,"Summerside, Prince Edward Island",Number of persons,18940
2012,"Summerside, Prince Edward Island",Percentage of persons aged 0 to 24 years,29
2012,"Summerside, Prince Edward Island",Percentage of persons aged 25 to 44 years,23
2012,"Summerside, Prince Edward Island",Percentage of persons aged 45 to 64 years,30
2012,"Summerside, Prince Edward Island",Percentage of persons aged 65 years and over,18
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $15,000 and over",78
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $25,000 and over",56
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $35,000 and over",39
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $50,000 and over",20
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $75,000 and over",7
2012,"Summerside, Prince Edward Island","Percentage of persons with total income $100,000 and over",3
2012,"Non CMA-CA, Prince Edward Island",Number of persons,54740
2012,"Non CMA-CA, Prince Edward Island",Percentage of persons aged 0 to 24 years,30
2012,"Non CMA-CA, Prince Edward Island",Percentage of persons aged 25 to 44 years,22
2012,"Non CMA-CA, Prince Edward Island",Percentage of persons aged 45 to 64 years,31
2012,"Non CMA-CA, Prince Edward Island",Percentage of persons aged 65 years and over,18
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $15,000 and over",79
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $25,000 and over",56
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $35,000 and over",38
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $50,000 and over",19
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $75,000 and over",6
2012,"Non CMA-CA, Prince Edward Island","Percentage of persons with total income $100,000 and over",2
2012,"Halifax, Nova Scotia",Number of persons,370580
2012,"Halifax, Nova Scotia",Percentage of persons aged 0 to 24 years,29
2012,"Halifax, Nova Scotia",Percentage of persons aged 25 to 44 years,27
2012,"Halifax, Nova Scotia",Percentage of persons aged 45 to 64 years,29
2012,"Halifax, Nova Scotia",Percentage of persons aged 65 years and over,14
2012,"Halifax, Nova Scotia","Percentage of persons with total income $15,000 and over",78
2012,"Halifax, Nova Scotia","Percentage of persons with total income $25,000 and over",62
2012,"Halifax, Nova Scotia","Percentage of persons with total income $35,000 and over",49
2012,"Halifax, Nova Scotia","Percentage of persons with total income $50,000 and over",32
2012,"Halifax, Nova Scotia","Percentage of persons with total income $75,000 and over",15
2012,"Halifax, Nova Scotia","Percentage of persons with total income $100,000 and over",7
2012,"Kentville, Nova Scotia",Number of persons,26050
2012,"Kentville, Nova Scotia",Percentage of persons aged 0 to 24 years,29
2012,"Kentville, Nova Scotia",Percentage of persons aged 25 to 44 years,23
2012,"Kentville, Nova Scotia",Percentage of persons aged 45 to 64 years,31
2012,"Kentville, Nova Scotia",Percentage of persons aged 65 years and over,18
2012,"Kentville, Nova Scotia","Percentage of persons with total income $15,000 and over",75
2012,"Kentville, Nova Scotia","Percentage of persons with total income $25,000 and over",53
2012,"Kentville, Nova Scotia","Percentage of persons with total income $35,000 and over",37
2012,"Kentville, Nova Scotia","Percentage of persons with total income $50,000 and over",21
2012,"Kentville, Nova Scotia","Percentage of persons with total income $75,000 and over",8
2012,"Kentville, Nova Scotia","Percentage of persons with total income $100,000 and over",3
2012,"Truro, Nova Scotia",Number of persons,42830
2012,"Truro, Nova Scotia",Percentage of persons aged 0 to 24 years,29
2012,"Truro, Nova Scotia",Percentage of persons aged 25 to 44 years,23
2012,"Truro, Nova Scotia",Percentage of persons aged 45 to 64 years,30
2012,"Truro, Nova Scotia",Percentage of persons aged 65 years and over,19
2012,"Truro, Nova Scotia","Percentage of persons with total income $15,000 and over",75
2012,"Truro, Nova Scotia","Percentage of persons with total income $25,000 and over",54
2012,"Truro, Nova Scotia","Percentage of persons with total income $35,000 and over",39
2012,"Truro, Nova Scotia","Percentage of persons with total income $50,000 and over",22
2012,"Truro, Nova Scotia","Percentage of persons with total income $75,000 and over",9
2012,"Truro, Nova Scotia","Percentage of persons with total income $100,000 and over",3
2012,"New Glasgow, Nova Scotia",Number of persons,35150
2012,"New Glasgow, Nova Scotia",Percentage of persons aged 0 to 24 years,28
2012,"New Glasgow, Nova Scotia",Percentage of persons aged 25 to 44 years,23
2012,"New Glasgow, Nova Scotia",Percentage of persons aged 45 to 64 years,31
2012,"New Glasgow, Nova Scotia",Percentage of persons aged 65 years and over,19
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $15,000 and over",75
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $25,000 and over",53
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $35,000 and over",38
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $50,000 and over",22
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $75,000 and over",9
2012,"New Glasgow, Nova Scotia","Percentage of persons with total income $100,000 and over",4
2012,"Cape Breton, Nova Scotia",Number of persons,101380
2012,"Cape Breton, Nova Scotia",Percentage of persons aged 0 to 24 years,28
2012,"Cape Breton, Nova Scotia",Percentage of persons aged 25 to 44 years,21
2012,"Cape Breton, Nova Scotia",Percentage of persons aged 45 to 64 years,32
2012,"Cape Breton, Nova Scotia",Percentage of persons aged 65 years and over,20
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $15,000 and over",75
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $25,000 and over",52
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $35,000 and over",36
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $50,000 and over",21
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $75,000 and over",9
2012,"Cape Breton, Nova Scotia","Percentage of persons with total income $100,000 and over",3
2012,"Non CMA-CA, Nova Scotia",Number of persons,322350
2012,"Non CMA-CA, Nova Scotia",Percentage of persons aged 0 to 24 years,26
2012,"Non CMA-CA, Nova Scotia",Percentage of persons aged 25 to 44 years,21
2012,"Non CMA-CA, Nova Scotia",Percentage of persons aged 45 to 64 years,32
2012,"Non CMA-CA, Nova Scotia",Percentage of persons aged 65 years and over,21
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $15,000 and over",75
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $25,000 and over",52
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $35,000 and over",37
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $50,000 and over",20
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $75,000 and over",8
2012,"Non CMA-CA, Nova Scotia","Percentage of persons with total income $100,000 and over",3
2012,"Moncton, New Brunswick",Number of persons,136130
2012,"Moncton, New Brunswick",Percentage of persons aged 0 to 24 years,29
2012,"Moncton, New Brunswick",Percentage of persons aged 25 to 44 years,28
2012,"Moncton, New Brunswick",Percentage of persons aged 45 to 64 years,28
2012,"Moncton, New Brunswick",Percentage of persons aged 65 years and over,16
2012,"Moncton, New Brunswick","Percentage of persons with total income $15,000 and over",79
2012,"Moncton, New Brunswick","Percentage of persons with total income $25,000 and over",60
2012,"Moncton, New Brunswick","Percentage of persons with total income $35,000 and over",45
2012,"Moncton, New Brunswick","Percentage of persons with total income $50,000 and over",26
2012,"Moncton, New Brunswick","Percentage of persons with total income $75,000 and over",11
2012,"Moncton, New Brunswick","Percentage of persons with total income $100,000 and over",5
2012,"Saint John, New Brunswick",Number of persons,122510
2012,"Saint John, New Brunswick",Percentage of persons aged 0 to 24 years,29
2012,"Saint John, New Brunswick",Percentage of persons aged 25 to 44 years,25
2012,"Saint John, New Brunswick",Percentage of persons aged 45 to 64 years,30
2012,"Saint John, New Brunswick",Percentage of persons aged 65 years and over,16
2012,"Saint John, New Brunswick","Percentage of persons with total income $15,000 and over",77
2012,"Saint John, New Brunswick","Percentage of persons with total income $25,000 and over",58
2012,"Saint John, New Brunswick","Percentage of persons with total income $35,000 and over",44
2012,"Saint John, New Brunswick","Percentage of persons with total income $50,000 and over",27
2012,"Saint John, New Brunswick","Percentage of persons with total income $75,000 and over",13
2012,"Saint John, New Brunswick","Percentage of persons with total income $100,000 and over",6
2012,"Fredericton, New Brunswick",Number of persons,91110
2012,"Fredericton, New Brunswick",Percentage of persons aged 0 to 24 years,30
2012,"Fredericton, New Brunswick",Percentage of persons aged 25 to 44 years,27
2012,"Fredericton, New Brunswick",Percentage of persons aged 45 to 64 years,28
2012,"Fredericton, New Brunswick",Percentage of persons aged 65 years and over,15
2012,"Fredericton, New Brunswick","Percentage of persons with total income $15,000 and over",78
2012,"Fredericton, New Brunswick","Percentage of persons with total income $25,000 and over",61
2012,"Fredericton, New Brunswick","Percentage of persons with total income $35,000 and over",48
2012,"Fredericton, New Brunswick","Percentage of persons with total income $50,000 and over",30
2012,"Fredericton, New Brunswick","Percentage of persons with total income $75,000 and over",13
2012,"Fredericton, New Brunswick","Percentage of persons with total income $100,000 and over",6
2012,"Bathurst, New Brunswick",Number of persons,33050
2012,"Bathurst, New Brunswick",Percentage of persons aged 0 to 24 years,23
2012,"Bathurst, New Brunswick",Percentage of persons aged 25 to 44 years,21
2012,"Bathurst, New Brunswick",Percentage of persons aged 45 to 64 years,35
2012,"Bathurst, New Brunswick",Percentage of persons aged 65 years and over,21
2012,"Bathurst, New Brunswick","Percentage of persons with total income $15,000 and over",75
2012,"Bathurst, New Brunswick","Percentage of persons with total income $25,000 and over",53
2012,"Bathurst, New Brunswick","Percentage of persons with total income $35,000 and over",38
2012,"Bathurst, New Brunswick","Percentage of persons with total income $50,000 and over",22
2012,"Bathurst, New Brunswick","Percentage of persons with total income $75,000 and over",10
2012,"Bathurst, New Brunswick","Percentage of persons with total income $100,000 and over",4
2012,"Miramichi, New Brunswick",Number of persons,27580
2012,"Miramichi, New Brunswick",Percentage of persons aged 0 to 24 years,27
2012,"Miramichi, New Brunswick",Percentage of persons aged 25 to 44 years,22
2012,"Miramichi, New Brunswick",Percentage of persons aged 45 to 64 years,32
2012,"Miramichi, New Brunswick",Percentage of persons aged 65 years and over,20
2012,"Miramichi, New Brunswick","Percentage of persons with total income $15,000 and over",76
2012,"Miramichi, New Brunswick","Percentage of persons with total income $25,000 and over",55
2012,"Miramichi, New Brunswick","Percentage of persons with total income $35,000 and over",39
2012,"Miramichi, New Brunswick","Percentage of persons with total income $50,000 and over",22
2012,"Miramichi, New Brunswick","Percentage of persons with total income $75,000 and over",9
2012,"Miramichi, New Brunswick","Percentage of persons with total income $100,000 and over",4
2012,"Campbellton, New Brunswick part",Number of persons,14070
2012,"Campbellton, New Brunswick part",Percentage of persons aged 0 to 24 years,24
2012,"Campbellton, New Brunswick part",Percentage of persons aged 25 to 44 years,20
2012,"Campbellton, New Brunswick part",Percentage of persons aged 45 to 64 years,35
2012,"Campbellton, New Brunswick part",Percentage of persons aged 65 years and over,21
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $15,000 and over",75
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $25,000 and over",51
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $35,000 and over",34
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $50,000 and over",17
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $75,000 and over",7
2012,"Campbellton, New Brunswick part","Percentage of persons with total income $100,000 and over",2
2012,"Edmundston, New Brunswick",Number of persons,22140
2012,"Edmundston, New Brunswick",Percentage of persons aged 0 to 24 years,23
2012,"Edmundston, New Brunswick",Percentage of persons aged 25 to 44 years,22
2012,"Edmundston, New Brunswick",Percentage of persons aged 45 to 64 years,35
2012,"Edmundston, New Brunswick",Percentage of persons aged 65 years and over,20
2012,"Edmundston, New Brunswick","Percentage of persons with total income $15,000 and over",77
2012,"Edmundston, New Brunswick","Percentage of persons with total income $25,000 and over",53
2012,"Edmundston, New Brunswick","Percentage of persons with total income $35,000 and over",37
2012,"Edmundston, New Brunswick","Percentage of persons with total income $50,000 and over",19
2012,"Edmundston, New Brunswick","Percentage of persons with total income $75,000 and over",7
2012,"Edmundston, New Brunswick","Percentage of persons with total income $100,000 and over",2
2012,"Non CMA-CA, New Brunswick",Number of persons,289830
2012,"Non CMA-CA, New Brunswick",Percentage of persons aged 0 to 24 years,27
2012,"Non CMA-CA, New Brunswick",Percentage of persons aged 25 to 44 years,23
2012,"Non CMA-CA, New Brunswick",Percentage of persons aged 45 to 64 years,32
2012,"Non CMA-CA, New Brunswick",Percentage of persons aged 65 years and over,19
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $15,000 and over",76
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $25,000 and over",52
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $35,000 and over",34
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $50,000 and over",18
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $75,000 and over",7
2012,"Non CMA-CA, New Brunswick","Percentage of persons with total income $100,000 and over",3
2012,"Campbellton, Quebec part",Number of persons,3600
2012,"Campbellton, Quebec part",Percentage of persons aged 0 to 24 years,36
2012,"Campbellton, Quebec part",Percentage of persons aged 25 to 44 years,23
2012,"Campbellton, Quebec part",Percentage of persons aged 45 to 64 years,28
2012,"Campbellton, Quebec part",Percentage of persons aged 65 years and over,13
2012,"Campbellton, Quebec part","Percentage of persons with total income $15,000 and over",60
2012,"Campbellton, Quebec part","Percentage of persons with total income $25,000 and over",37
2012,"Campbellton, Quebec part","Percentage of persons with total income $35,000 and over",24
2012,"Campbellton, Quebec part","Percentage of persons with total income $50,000 and over",12
2012,"Campbellton, Quebec part","Percentage of persons with total income $75,000 and over",3
2012,"Campbellton, Quebec part","Percentage of persons with total income $100,000 and over",1
2012,"Matane, Quebec",Number of persons,18150
2012,"Matane, Quebec",Percentage of persons aged 0 to 24 years,23
2012,"Matane, Quebec",Percentage of persons aged 25 to 44 years,21
2012,"Matane, Quebec",Percentage of persons aged 45 to 64 years,35
2012,"Matane, Quebec",Percentage of persons aged 65 years and over,22
2012,"Matane, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Matane, Quebec","Percentage of persons with total income $25,000 and over",53
2012,"Matane, Quebec","Percentage of persons with total income $35,000 and over",37
2012,"Matane, Quebec","Percentage of persons with total income $50,000 and over",19
2012,"Matane, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Matane, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Rimouski, Quebec",Number of persons,50680
2012,"Rimouski, Quebec",Percentage of persons aged 0 to 24 years,26
2012,"Rimouski, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Rimouski, Quebec",Percentage of persons aged 45 to 64 years,32
2012,"Rimouski, Quebec",Percentage of persons aged 65 years and over,19
2012,"Rimouski, Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Rimouski, Quebec","Percentage of persons with total income $25,000 and over",60
2012,"Rimouski, Quebec","Percentage of persons with total income $35,000 and over",44
2012,"Rimouski, Quebec","Percentage of persons with total income $50,000 and over",25
2012,"Rimouski, Quebec","Percentage of persons with total income $75,000 and over",9
2012,"Rimouski, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Rivière-du-loup, Quebec",Number of persons,27390
2012,"Rivière-du-loup, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Rivière-du-loup, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Rivière-du-loup, Quebec",Percentage of persons aged 45 to 64 years,31
2012,"Rivière-du-loup, Quebec",Percentage of persons aged 65 years and over,19
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $15,000 and over",79
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $25,000 and over",58
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $35,000 and over",41
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $50,000 and over",21
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $75,000 and over",7
2012,"Rivière-du-loup, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Baie-Comeau, Quebec",Number of persons,28420
2012,"Baie-Comeau, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Baie-Comeau, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Baie-Comeau, Quebec",Percentage of persons aged 45 to 64 years,34
2012,"Baie-Comeau, Quebec",Percentage of persons aged 65 years and over,16
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $15,000 and over",81
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $25,000 and over",63
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $35,000 and over",50
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $50,000 and over",32
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $75,000 and over",16
2012,"Baie-Comeau, Quebec","Percentage of persons with total income $100,000 and over",7
2012,"Saguenay, Quebec",Number of persons,157200
2012,"Saguenay, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Saguenay, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Saguenay, Quebec",Percentage of persons aged 45 to 64 years,32
2012,"Saguenay, Quebec",Percentage of persons aged 65 years and over,18
2012,"Saguenay, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Saguenay, Quebec","Percentage of persons with total income $25,000 and over",58
2012,"Saguenay, Quebec","Percentage of persons with total income $35,000 and over",44
2012,"Saguenay, Quebec","Percentage of persons with total income $50,000 and over",26
2012,"Saguenay, Quebec","Percentage of persons with total income $75,000 and over",11
2012,"Saguenay, Quebec","Percentage of persons with total income $100,000 and over",5
2012,"Alma, Quebec",Number of persons,32450
2012,"Alma, Quebec",Percentage of persons aged 0 to 24 years,28
2012,"Alma, Quebec",Percentage of persons aged 25 to 44 years,22
2012,"Alma, Quebec",Percentage of persons aged 45 to 64 years,32
2012,"Alma, Quebec",Percentage of persons aged 65 years and over,18
2012,"Alma, Quebec","Percentage of persons with total income $15,000 and over",76
2012,"Alma, Quebec","Percentage of persons with total income $25,000 and over",57
2012,"Alma, Quebec","Percentage of persons with total income $35,000 and over",42
2012,"Alma, Quebec","Percentage of persons with total income $50,000 and over",23
2012,"Alma, Quebec","Percentage of persons with total income $75,000 and over",9
2012,"Alma, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Dolbeau-Mistassini, Quebec",Number of persons,16100
2012,"Dolbeau-Mistassini, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Dolbeau-Mistassini, Quebec",Percentage of persons aged 25 to 44 years,21
2012,"Dolbeau-Mistassini, Quebec",Percentage of persons aged 45 to 64 years,33
2012,"Dolbeau-Mistassini, Quebec",Percentage of persons aged 65 years and over,20
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $15,000 and over",75
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $25,000 and over",53
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $35,000 and over",38
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $50,000 and over",20
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Dolbeau-Mistassini, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Sept-Îles, Quebec",Number of persons,28270
2012,"Sept-Îles, Quebec",Percentage of persons aged 0 to 24 years,32
2012,"Sept-Îles, Quebec",Percentage of persons aged 25 to 44 years,26
2012,"Sept-Îles, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Sept-Îles, Quebec",Percentage of persons aged 65 years and over,14
2012,"Sept-Îles, Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Sept-Îles, Quebec","Percentage of persons with total income $25,000 and over",64
2012,"Sept-Îles, Quebec","Percentage of persons with total income $35,000 and over",51
2012,"Sept-Îles, Quebec","Percentage of persons with total income $50,000 and over",34
2012,"Sept-Îles, Quebec","Percentage of persons with total income $75,000 and over",19
2012,"Sept-Îles, Quebec","Percentage of persons with total income $100,000 and over",10
2012,"Québec, Quebec",Number of persons,754530
2012,"Québec, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Québec, Quebec",Percentage of persons aged 25 to 44 years,26
2012,"Québec, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Québec, Quebec",Percentage of persons aged 65 years and over,17
2012,"Québec, Quebec","Percentage of persons with total income $15,000 and over",81
2012,"Québec, Quebec","Percentage of persons with total income $25,000 and over",64
2012,"Québec, Quebec","Percentage of persons with total income $35,000 and over",50
2012,"Québec, Quebec","Percentage of persons with total income $50,000 and over",30
2012,"Québec, Quebec","Percentage of persons with total income $75,000 and over",11
2012,"Québec, Quebec","Percentage of persons with total income $100,000 and over",5
2012,"Saint-Georges, Quebec",Number of persons,34940
2012,"Saint-Georges, Quebec",Percentage of persons aged 0 to 24 years,29
2012,"Saint-Georges, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Saint-Georges, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Saint-Georges, Quebec",Percentage of persons aged 65 years and over,17
2012,"Saint-Georges, Quebec","Percentage of persons with total income $15,000 and over",78
2012,"Saint-Georges, Quebec","Percentage of persons with total income $25,000 and over",57
2012,"Saint-Georges, Quebec","Percentage of persons with total income $35,000 and over",41
2012,"Saint-Georges, Quebec","Percentage of persons with total income $50,000 and over",20
2012,"Saint-Georges, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Saint-Georges, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Thetford Mines, Quebec",Number of persons,25740
2012,"Thetford Mines, Quebec",Percentage of persons aged 0 to 24 years,24
2012,"Thetford Mines, Quebec",Percentage of persons aged 25 to 44 years,20
2012,"Thetford Mines, Quebec",Percentage of persons aged 45 to 64 years,31
2012,"Thetford Mines, Quebec",Percentage of persons aged 65 years and over,25
2012,"Thetford Mines, Quebec","Percentage of persons with total income $15,000 and over",78
2012,"Thetford Mines, Quebec","Percentage of persons with total income $25,000 and over",52
2012,"Thetford Mines, Quebec","Percentage of persons with total income $35,000 and over",35
2012,"Thetford Mines, Quebec","Percentage of persons with total income $50,000 and over",16
2012,"Thetford Mines, Quebec","Percentage of persons with total income $75,000 and over",5
2012,"Thetford Mines, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Sherbrooke, Quebec",Number of persons,199750
2012,"Sherbrooke, Quebec",Percentage of persons aged 0 to 24 years,29
