Ref_Date,GEO,STAT,SUMMARY,Value
2013,Newfoundland and Labrador,Average expenditure per household,"Postal, courier and other communication services",54
2010,Newfoundland and Labrador,Average expenditure per household,Pet food,167
2011,Newfoundland and Labrador,Average expenditure per household,Pet food,179
2012,Newfoundland and Labrador,Average expenditure per household,Pet food,236
2013,Newfoundland and Labrador,Average expenditure per household,Pet food,187
2010,Newfoundland and Labrador,Average expenditure per household,Purchase of pets and pet-related goods,72
2011,Newfoundland and Labrador,Average expenditure per household,Purchase of pets and pet-related goods,60
2012,Newfoundland and Labrador,Average expenditure per household,Purchase of pets and pet-related goods,64
2013,Newfoundland and Labrador,Average expenditure per household,Purchase of pets and pet-related goods,54
2010,Newfoundland and Labrador,Average expenditure per household,Veterinarian and other services,139
2011,Newfoundland and Labrador,Average expenditure per household,Veterinarian and other services,175
2012,Newfoundland and Labrador,Average expenditure per household,Veterinarian and other services,224
2013,Newfoundland and Labrador,Average expenditure per household,Veterinarian and other services,194
2010,Newfoundland and Labrador,Average expenditure per household,Stationery (excluding school supplies),146
2011,Newfoundland and Labrador,Average expenditure per household,Stationery (excluding school supplies),153
2012,Newfoundland and Labrador,Average expenditure per household,Stationery (excluding school supplies),146
2013,Newfoundland and Labrador,Average expenditure per household,Stationery (excluding school supplies),127
2010,Newfoundland and Labrador,Average expenditure per household,Other paper supplies,185
2011,Newfoundland and Labrador,Average expenditure per household,Other paper supplies,201
2012,Newfoundland and Labrador,Average expenditure per household,Other paper supplies,231
2013,Newfoundland and Labrador,Average expenditure per household,Other paper supplies,206
2010,Newfoundland and Labrador,Average expenditure per household,Plastic and foil supplies,76
2011,Newfoundland and Labrador,Average expenditure per household,Plastic and foil supplies,87
2012,Newfoundland and Labrador,Average expenditure per household,Plastic and foil supplies,77
2013,Newfoundland and Labrador,Average expenditure per household,Plastic and foil supplies,66
2010,Newfoundland and Labrador,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",92
2011,Newfoundland and Labrador,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",82
2012,Newfoundland and Labrador,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",192
2013,Newfoundland and Labrador,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",168
2010,Newfoundland and Labrador,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",41
2011,Newfoundland and Labrador,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",33
2012,Newfoundland and Labrador,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",F
2013,Newfoundland and Labrador,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",F
2010,Newfoundland and Labrador,Average expenditure per household,"Horticultural services, snow and garbage removal",F
2011,Newfoundland and Labrador,Average expenditure per household,"Horticultural services, snow and garbage removal",76
2012,Newfoundland and Labrador,Average expenditure per household,"Horticultural services, snow and garbage removal",87
2013,Newfoundland and Labrador,Average expenditure per household,"Horticultural services, snow and garbage removal",83
2010,Newfoundland and Labrador,Average expenditure per household,Child care outside the home,244
2011,Newfoundland and Labrador,Average expenditure per household,Child care outside the home,360
2012,Newfoundland and Labrador,Average expenditure per household,Child care outside the home,367
2013,Newfoundland and Labrador,Average expenditure per household,Child care outside the home,460
2010,Newfoundland and Labrador,Average expenditure per household,Child care in the home (regular and occasional),F
2011,Newfoundland and Labrador,Average expenditure per household,Child care in the home (regular and occasional),F
2012,Newfoundland and Labrador,Average expenditure per household,Child care in the home (regular and occasional),F
2013,Newfoundland and Labrador,Average expenditure per household,Child care in the home (regular and occasional),F
2010,Newfoundland and Labrador,Average expenditure per household,Household furnishings,904
2011,Newfoundland and Labrador,Average expenditure per household,Household furnishings,993
2012,Newfoundland and Labrador,Average expenditure per household,Household furnishings,919
2013,Newfoundland and Labrador,Average expenditure per household,Household furnishings,1021
2010,Newfoundland and Labrador,Average expenditure per household,Household appliances,453
2011,Newfoundland and Labrador,Average expenditure per household,Household appliances,436
2012,Newfoundland and Labrador,Average expenditure per household,Household appliances,573
2013,Newfoundland and Labrador,Average expenditure per household,Household appliances,487
2010,Newfoundland and Labrador,Average expenditure per household,Home and workshop tools and equipment,54
2011,Newfoundland and Labrador,Average expenditure per household,Home and workshop tools and equipment,152
2012,Newfoundland and Labrador,Average expenditure per household,Home and workshop tools and equipment,155
2013,Newfoundland and Labrador,Average expenditure per household,Home and workshop tools and equipment,151
2010,Newfoundland and Labrador,Average expenditure per household,"Lawn, garden and snow-removal equipment and tools",39
2011,Newfoundland and Labrador,Average expenditure per household,"Lawn, garden and snow-removal equipment and tools",141
2012,Newfoundland and Labrador,Average expenditure per household,"Lawn, garden and snow-removal equipment and tools",162
2013,Newfoundland and Labrador,Average expenditure per household,"Lawn, garden and snow-removal equipment and tools",192
2010,Newfoundland and Labrador,Average expenditure per household,Non-electric kitchen and cooking equipment,109
2011,Newfoundland and Labrador,Average expenditure per household,Non-electric kitchen and cooking equipment,147
2012,Newfoundland and Labrador,Average expenditure per household,Non-electric kitchen and cooking equipment,145
2013,Newfoundland and Labrador,Average expenditure per household,Non-electric kitchen and cooking equipment,99
2010,Newfoundland and Labrador,Average expenditure per household,"Other household equipment, parts and accessories",226
2011,Newfoundland and Labrador,Average expenditure per household,"Other household equipment, parts and accessories",252
2012,Newfoundland and Labrador,Average expenditure per household,"Other household equipment, parts and accessories",277
2013,Newfoundland and Labrador,Average expenditure per household,"Other household equipment, parts and accessories",188
2010,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of household furnishings and equipment,F
2011,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of household furnishings and equipment,F
2012,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of household furnishings and equipment,F
2013,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of household furnishings and equipment,F
2010,Newfoundland and Labrador,Average expenditure per household,Services related to household furnishings and equipment,33
2011,Newfoundland and Labrador,Average expenditure per household,Services related to household furnishings and equipment,36
2012,Newfoundland and Labrador,Average expenditure per household,Services related to household furnishings and equipment,48
2013,Newfoundland and Labrador,Average expenditure per household,Services related to household furnishings and equipment,79
2010,Newfoundland and Labrador,Average expenditure per household,Rental of heating equipment,4
2011,Newfoundland and Labrador,Average expenditure per household,Rental of heating equipment,6
2012,Newfoundland and Labrador,Average expenditure per household,Rental of heating equipment,5
2013,Newfoundland and Labrador,Average expenditure per household,Rental of heating equipment,8
2010,Newfoundland and Labrador,Average expenditure per household,Home security services,29
2011,Newfoundland and Labrador,Average expenditure per household,Home security services,30
2012,Newfoundland and Labrador,Average expenditure per household,Home security services,43
2013,Newfoundland and Labrador,Average expenditure per household,Home security services,71
2010,Newfoundland and Labrador,Average expenditure per household,Clothing (women and girls aged 4 years and over),1241
2011,Newfoundland and Labrador,Average expenditure per household,Clothing (women and girls aged 4 years and over),1242
2012,Newfoundland and Labrador,Average expenditure per household,Clothing (women and girls aged 4 years and over),1133
2013,Newfoundland and Labrador,Average expenditure per household,Clothing (women and girls aged 4 years and over),1235
2010,Newfoundland and Labrador,Average expenditure per household,Footwear (women and girls aged 4 years and over),345
2011,Newfoundland and Labrador,Average expenditure per household,Footwear (women and girls aged 4 years and over),353
2012,Newfoundland and Labrador,Average expenditure per household,Footwear (women and girls aged 4 years and over),330
2013,Newfoundland and Labrador,Average expenditure per household,Footwear (women and girls aged 4 years and over),402
2010,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (women and girls aged 4 years and over),139
2011,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (women and girls aged 4 years and over),124
2012,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (women and girls aged 4 years and over),116
2013,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (women and girls aged 4 years and over),150
2010,Newfoundland and Labrador,Average expenditure per household,Other footwear (women and girls aged 4 years and over),206
2011,Newfoundland and Labrador,Average expenditure per household,Other footwear (women and girls aged 4 years and over),229
2012,Newfoundland and Labrador,Average expenditure per household,Other footwear (women and girls aged 4 years and over),215
2013,Newfoundland and Labrador,Average expenditure per household,Other footwear (women and girls aged 4 years and over),252
2010,Newfoundland and Labrador,Average expenditure per household,Accessories (women and girls aged 4 years and over),90
2011,Newfoundland and Labrador,Average expenditure per household,Accessories (women and girls aged 4 years and over),86
2012,Newfoundland and Labrador,Average expenditure per household,Accessories (women and girls aged 4 years and over),90
2013,Newfoundland and Labrador,Average expenditure per household,Accessories (women and girls aged 4 years and over),82
2010,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (women and girls aged 4 years and over),236
2011,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (women and girls aged 4 years and over),138
2012,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (women and girls aged 4 years and over),202
2013,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (women and girls aged 4 years and over),145
2010,Newfoundland and Labrador,Average expenditure per household,Watches (women and girls aged 4 years and over),41
2011,Newfoundland and Labrador,Average expenditure per household,Watches (women and girls aged 4 years and over),15
2012,Newfoundland and Labrador,Average expenditure per household,Watches (women and girls aged 4 years and over),29
2013,Newfoundland and Labrador,Average expenditure per household,Watches (women and girls aged 4 years and over),23
2010,Newfoundland and Labrador,Average expenditure per household,Jewellery (women and girls aged 4 years and over),196
2011,Newfoundland and Labrador,Average expenditure per household,Jewellery (women and girls aged 4 years and over),123
2012,Newfoundland and Labrador,Average expenditure per household,Jewellery (women and girls aged 4 years and over),173
2013,Newfoundland and Labrador,Average expenditure per household,Jewellery (women and girls aged 4 years and over),121
2010,Newfoundland and Labrador,Average expenditure per household,Clothing (men and boys aged 4 years and over),749
2011,Newfoundland and Labrador,Average expenditure per household,Clothing (men and boys aged 4 years and over),784
2012,Newfoundland and Labrador,Average expenditure per household,Clothing (men and boys aged 4 years and over),791
2013,Newfoundland and Labrador,Average expenditure per household,Clothing (men and boys aged 4 years and over),748
2010,Newfoundland and Labrador,Average expenditure per household,Footwear (men and boys aged 4 years and over),261
2011,Newfoundland and Labrador,Average expenditure per household,Footwear (men and boys aged 4 years and over),258
2012,Newfoundland and Labrador,Average expenditure per household,Footwear (men and boys aged 4 years and over),263
2013,Newfoundland and Labrador,Average expenditure per household,Footwear (men and boys aged 4 years and over),271
2010,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (men and boys aged 4 years and over),147
2011,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (men and boys aged 4 years and over),146
2012,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (men and boys aged 4 years and over),140
2013,Newfoundland and Labrador,Average expenditure per household,Athletic footwear (men and boys aged 4 years and over),143
2010,Newfoundland and Labrador,Average expenditure per household,Other footwear (men and boys aged 4 years and over),113
2011,Newfoundland and Labrador,Average expenditure per household,Other footwear (men and boys aged 4 years and over),112
2012,Newfoundland and Labrador,Average expenditure per household,Other footwear (men and boys aged 4 years and over),122
2013,Newfoundland and Labrador,Average expenditure per household,Other footwear (men and boys aged 4 years and over),128
2010,Newfoundland and Labrador,Average expenditure per household,Accessories (men and boys aged 4 years and over),35
2011,Newfoundland and Labrador,Average expenditure per household,Accessories (men and boys aged 4 years and over),45
2012,Newfoundland and Labrador,Average expenditure per household,Accessories (men and boys aged 4 years and over),54
2013,Newfoundland and Labrador,Average expenditure per household,Accessories (men and boys aged 4 years and over),48
2010,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (men and boys aged 4 years and over),70
2011,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (men and boys aged 4 years and over),30
2012,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (men and boys aged 4 years and over),46
2013,Newfoundland and Labrador,Average expenditure per household,Watches and jewellery (men and boys aged 4 years and over),35
2010,Newfoundland and Labrador,Average expenditure per household,Watches (men and boys aged 4 years and over),42
2011,Newfoundland and Labrador,Average expenditure per household,Watches (men and boys aged 4 years and over),19
2012,Newfoundland and Labrador,Average expenditure per household,Watches (men and boys aged 4 years and over),20
2013,Newfoundland and Labrador,Average expenditure per household,Watches (men and boys aged 4 years and over),32
2010,Newfoundland and Labrador,Average expenditure per household,Jewellery (men and boys aged 4 years and over),28
2011,Newfoundland and Labrador,Average expenditure per household,Jewellery (men and boys aged 4 years and over),F
2012,Newfoundland and Labrador,Average expenditure per household,Jewellery (men and boys aged 4 years and over),F
2013,Newfoundland and Labrador,Average expenditure per household,Jewellery (men and boys aged 4 years and over),F
2010,Newfoundland and Labrador,Average expenditure per household,Clothing and cloth diapers (children under 4 years),86
2011,Newfoundland and Labrador,Average expenditure per household,Clothing and cloth diapers (children under 4 years),82
2012,Newfoundland and Labrador,Average expenditure per household,Clothing and cloth diapers (children under 4 years),72
2013,Newfoundland and Labrador,Average expenditure per household,Clothing and cloth diapers (children under 4 years),70
2010,Newfoundland and Labrador,Average expenditure per household,Footwear (children under 4 years),12
2011,Newfoundland and Labrador,Average expenditure per household,Footwear (children under 4 years),13
2012,Newfoundland and Labrador,Average expenditure per household,Footwear (children under 4 years),13
2013,Newfoundland and Labrador,Average expenditure per household,Footwear (children under 4 years),15
2010,Newfoundland and Labrador,Average expenditure per household,Laundry and dry-cleaning services,F
2011,Newfoundland and Labrador,Average expenditure per household,Laundry and dry-cleaning services,5
2012,Newfoundland and Labrador,Average expenditure per household,Laundry and dry-cleaning services,12
2013,Newfoundland and Labrador,Average expenditure per household,Laundry and dry-cleaning services,13
2010,Newfoundland and Labrador,Average expenditure per household,Laundromats and self-service dry cleaning,F
2011,Newfoundland and Labrador,Average expenditure per household,Laundromats and self-service dry cleaning,20
2012,Newfoundland and Labrador,Average expenditure per household,Laundromats and self-service dry cleaning,13
2013,Newfoundland and Labrador,Average expenditure per household,Laundromats and self-service dry cleaning,15
2010,Newfoundland and Labrador,Average expenditure per household,"Clothing rental, tailoring, alteration services and other clothing services",F
2011,Newfoundland and Labrador,Average expenditure per household,"Clothing rental, tailoring, alteration services and other clothing services",F
2012,Newfoundland and Labrador,Average expenditure per household,"Clothing rental, tailoring, alteration services and other clothing services",F
2013,Newfoundland and Labrador,Average expenditure per household,"Clothing rental, tailoring, alteration services and other clothing services",F
2010,Newfoundland and Labrador,Average expenditure per household,Automobiles (purchase),1655
2011,Newfoundland and Labrador,Average expenditure per household,Automobiles (purchase),2025
2012,Newfoundland and Labrador,Average expenditure per household,Automobiles (purchase),1876
2013,Newfoundland and Labrador,Average expenditure per household,Automobiles (purchase),2278
2010,Newfoundland and Labrador,Average expenditure per household,"Vans (including mini-vans, purchase)",F
2011,Newfoundland and Labrador,Average expenditure per household,"Vans (including mini-vans, purchase)",F
2012,Newfoundland and Labrador,Average expenditure per household,"Vans (including mini-vans, purchase)",F
2013,Newfoundland and Labrador,Average expenditure per household,"Vans (including mini-vans, purchase)",F
2010,Newfoundland and Labrador,Average expenditure per household,"Trucks (including sport utility vehicles, purchase)",2036
2011,Newfoundland and Labrador,Average expenditure per household,"Trucks (including sport utility vehicles, purchase)",3025
2012,Newfoundland and Labrador,Average expenditure per household,"Trucks (including sport utility vehicles, purchase)",2867
2013,Newfoundland and Labrador,Average expenditure per household,"Trucks (including sport utility vehicles, purchase)",3028
2010,Newfoundland and Labrador,Average expenditure per household,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",170
2011,Newfoundland and Labrador,Average expenditure per household,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",168
2012,Newfoundland and Labrador,Average expenditure per household,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",174
2013,Newfoundland and Labrador,Average expenditure per household,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",172
2010,Newfoundland and Labrador,Average expenditure per household,Private and public vehicle insurance premiums,1208
2011,Newfoundland and Labrador,Average expenditure per household,Private and public vehicle insurance premiums,1381
2012,Newfoundland and Labrador,Average expenditure per household,Private and public vehicle insurance premiums,1389
2013,Newfoundland and Labrador,Average expenditure per household,Private and public vehicle insurance premiums,1431
2010,Newfoundland and Labrador,Average expenditure per household,"Tires, batteries, and other parts and supplies for vehicles",368
2011,Newfoundland and Labrador,Average expenditure per household,"Tires, batteries, and other parts and supplies for vehicles",250
2012,Newfoundland and Labrador,Average expenditure per household,"Tires, batteries, and other parts and supplies for vehicles",393
2013,Newfoundland and Labrador,Average expenditure per household,"Tires, batteries, and other parts and supplies for vehicles",466
2010,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of vehicles,216
2011,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of vehicles,473
2012,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of vehicles,840
2013,Newfoundland and Labrador,Average expenditure per household,Maintenance and repairs of vehicles,892
2010,Newfoundland and Labrador,Average expenditure per household,Vehicle security and communication services,F
2011,Newfoundland and Labrador,Average expenditure per household,Vehicle security and communication services,F
2012,Newfoundland and Labrador,Average expenditure per household,Vehicle security and communication services,23
2013,Newfoundland and Labrador,Average expenditure per household,Vehicle security and communication services,17
2010,Newfoundland and Labrador,Average expenditure per household,Gas and other fuels (all vehicles and tools),2487
2011,Newfoundland and Labrador,Average expenditure per household,Gas and other fuels (all vehicles and tools),3126
2012,Newfoundland and Labrador,Average expenditure per household,Gas and other fuels (all vehicles and tools),2629
2013,Newfoundland and Labrador,Average expenditure per household,Gas and other fuels (all vehicles and tools),3351
2010,Newfoundland and Labrador,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),45
2011,Newfoundland and Labrador,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),34
2012,Newfoundland and Labrador,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),52
2013,Newfoundland and Labrador,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),68
2010,Newfoundland and Labrador,Average expenditure per household,"Other automobile, van and truck operation services",F
2011,Newfoundland and Labrador,Average expenditure per household,"Other automobile, van and truck operation services",F
2012,Newfoundland and Labrador,Average expenditure per household,"Other automobile, van and truck operation services",F
2013,Newfoundland and Labrador,Average expenditure per household,"Other automobile, van and truck operation services",F
2010,Newfoundland and Labrador,Average expenditure per household,Driving lessons,19
2011,Newfoundland and Labrador,Average expenditure per household,Driving lessons,F
2012,Newfoundland and Labrador,Average expenditure per household,Driving lessons,21
2013,Newfoundland and Labrador,Average expenditure per household,Driving lessons,F
2010,Newfoundland and Labrador,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",30
2011,Newfoundland and Labrador,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",24
2012,Newfoundland and Labrador,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",27
2013,Newfoundland and Labrador,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",38
2010,Newfoundland and Labrador,Average expenditure per household,Taxi (including tips),83
2011,Newfoundland and Labrador,Average expenditure per household,Taxi (including tips),97
2012,Newfoundland and Labrador,Average expenditure per household,Taxi (including tips),113
2013,Newfoundland and Labrador,Average expenditure per household,Taxi (including tips),116
2010,Newfoundland and Labrador,Average expenditure per household,Other local passenger transportation,28
2011,Newfoundland and Labrador,Average expenditure per household,Other local passenger transportation,33
2012,Newfoundland and Labrador,Average expenditure per household,Other local passenger transportation,65
2013,Newfoundland and Labrador,Average expenditure per household,Other local passenger transportation,71
2010,Newfoundland and Labrador,Average expenditure per household,Airplane,623
2011,Newfoundland and Labrador,Average expenditure per household,Airplane,524
2012,Newfoundland and Labrador,Average expenditure per household,Airplane,796
2013,Newfoundland and Labrador,Average expenditure per household,Airplane,764
2010,Newfoundland and Labrador,Average expenditure per household,Inter-city bus,7
2011,Newfoundland and Labrador,Average expenditure per household,Inter-city bus,F
2012,Newfoundland and Labrador,Average expenditure per household,Inter-city bus,F
2013,Newfoundland and Labrador,Average expenditure per household,Inter-city bus,F
2010,Newfoundland and Labrador,Average expenditure per household,Other inter-city passenger transportation services,24
2011,Newfoundland and Labrador,Average expenditure per household,Other inter-city passenger transportation services,28
2012,Newfoundland and Labrador,Average expenditure per household,Other inter-city passenger transportation services,32
2013,Newfoundland and Labrador,Average expenditure per household,Other inter-city passenger transportation services,45
2010,Newfoundland and Labrador,Average expenditure per household,"Household moving, storage and delivery services",52
2011,Newfoundland and Labrador,Average expenditure per household,"Household moving, storage and delivery services",69
2012,Newfoundland and Labrador,Average expenditure per household,"Household moving, storage and delivery services",119
2013,Newfoundland and Labrador,Average expenditure per household,"Household moving, storage and delivery services",57
2010,Newfoundland and Labrador,Average expenditure per household,Prescribed medicines and pharmaceutical products,552
2011,Newfoundland and Labrador,Average expenditure per household,Prescribed medicines and pharmaceutical products,504
2012,Newfoundland and Labrador,Average expenditure per household,Prescribed medicines and pharmaceutical products,444
2013,Newfoundland and Labrador,Average expenditure per household,Prescribed medicines and pharmaceutical products,453
2010,Newfoundland and Labrador,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",273
2011,Newfoundland and Labrador,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",235
2012,Newfoundland and Labrador,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",233
2013,Newfoundland and Labrador,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",211
2010,Newfoundland and Labrador,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),54
2011,Newfoundland and Labrador,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),40
2012,Newfoundland and Labrador,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),42
2013,Newfoundland and Labrador,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),110
2010,Newfoundland and Labrador,Average expenditure per household,Health care by general practitioners and specialists,11
